employee_id,hire_date,term_date,first_name,last_name,department,sub-department,first_level_manager,second_level_manager,third_level_manager,fourth_level_manager,job_level,salary,term_type,term_reason,active_status,gender,race,birth_date,education,location,location_city,marital_status,employment_status
12104572130,2017-06-28,,Kip,O'Finan,Executive,,,,,,CEO,2468287,,,1,Female,Caucasian,1/25/1967,Master's degree,On-site,Los Angeles,Married,Full Time
3381966,2017-12-18,,Kate,Maceur,Legal,Intellectual Property,3278383811.0,1490361837.0,2591261030.0,12104572130.0,Individual Contributor,112274,,,1,Female,Caucasian,12/26/1990,Bachelor's degree,Remote,Washington DC,Single,Full Time
12868764,2012-03-28,,Bard,Kenneford,Software,Software Development,7216768130.0,6279119392.0,6268712051.0,12104572130.0,Individual Contributor,101769,,,1,Male,Caucasian,5/30/1982,Bachelor's degree,On-site,San Francisco,Single,Full Time
17445638,2017-06-29,2019-04-03,Saw,Sogg,Marketing,Public Relations,6725256317.0,2884263685.0,1949400041.0,12104572130.0,Individual Contributor,82641,Voluntary,Found a better opportunity,0,Male,Caucasian,8/5/1984,Bachelor's degree,Remote,Columbus,Single,Full Time
19611331,2021-04-12,,Cullen,Stiell,HR,Benefits,6064345413.0,8377149542.0,12104572130.0,,Team Lead,69487,,,1,Male,African American,10/4/1990,Bachelor's degree,Remote,Washington DC,Single,Full Time
21007178,2014-07-14,,Tallie,Sabater,Software,Technical Support,12104572130.0,,,,Director,135885,,,1,Male,Caucasian,12/28/1992,Bachelor's degree,Remote,San Diego,Single,Full Time
22427913,2014-06-21,2015-04-16,Inglebert,Yesipov,Finance,Auditing,5683220301.0,6043081030.0,5400546882.0,12104572130.0,Individual Contributor,74509,Voluntary,Personal reasons,0,Male,Caucasian,6/22/1971,Bachelor's degree,Remote,Jacksonville,Married,Full Time
23580165,2014-05-04,,Ki,Slayton,HR,Training,9152334412.0,8421163041.0,12104572130.0,,Team Lead,74993,,,1,Female,Caucasian,3/3/1962,Master's degree,Remote,San Antonio,Married,Full Time
26499513,2018-04-13,,Georgette,Wickersley,Marketing,Marketing Research,6977809316.0,8464356447.0,9743222543.0,12104572130.0,Individual Contributor,69510,,,1,Female,Caucasian,4/22/1983,Bachelor's degree,Remote,Seattle,Single,Full Time
29171485,2017-07-25,,Rollie,Eynon,Operations,Logistics,4729374587.0,5502602745.0,8488156355.0,12104572130.0,Individual Contributor,69907,,,1,Male,Asian,3/22/1989,Bachelor's degree,Remote,Philadelphia,Single,Full Time
30289155,2020-03-05,,Elton,Wyse,Sales,Sales Operations,231906979.0,1217153229.0,8057668487.0,12104572130.0,Individual Contributor,82943,,,1,Male,Caucasian,6/2/1991,Bachelor's degree,Remote,San Antonio,Single,Full Time
31934668,2019-10-08,,Dredi,Zellmer,Operations,Supply Chain,2173035137.0,8495424892.0,12104572130.0,,Team Lead,81815,,,1,Female,Caucasian,4/28/1997,Bachelor's degree,Remote,Houston,Single,Full Time
32116881,2017-11-04,,Darrin,Tommaseo,R&D,Prototyping,4924352810.0,5325728346.0,9928084959.0,12104572130.0,Individual Contributor,86393,,,1,Male,Caucasian,12/27/1984,Associate's degree,Remote,Phoenix,Single,Full Time
32364108,2013-01-24,,Aguistin,Loghan,R&D,Product Design,3878476132.0,6611224171.0,3314524903.0,12104572130.0,Individual Contributor,71835,,,1,Male,Caucasian,8/17/1991,Bachelor's degree,Remote,San Jose,Single,Contract
35687445,2018-05-18,,Lodovico,Corcut,Administration,Executive Assistants,4837787854.0,1133455702.0,7922516714.0,12104572130.0,Individual Contributor,66768,,,1,Male,Caucasian,6/19/1999,Bachelor's degree,Remote,New York,Single,Full Time
37230325,2015-08-10,,Deina,Muckloe,Finance,Auditing,3049965686.0,1672001344.0,8996729135.0,12104572130.0,Individual Contributor,83095,,,1,Female,Caucasian,11/1/1987,Bachelor's degree,On-site,Los Angeles,Single,Full Time
40464738,2012-08-10,,Whit,Duval,Marketing,Public Relations,784584731.0,1855812703.0,4092540016.0,12104572130.0,Individual Contributor,88618,,,1,Male,Caucasian,8/3/1991,Bachelor's degree,Remote,Jacksonville,Single,Full Time
44493250,2020-03-13,,Arleta,Surr,R&D,Prototyping,3792599203.0,12104572130.0,,,Manager,101906,,,1,Female,Caucasian,6/21/1984,Master's degree,On-site,Los Angeles,Single,Full Time
44644874,2013-08-17,,Shaun,Pregal,Finance,Financial Planning,7409078933.0,3905225288.0,8996729135.0,12104572130.0,Individual Contributor,85009,,,1,Female,Caucasian,9/19/1994,Master's degree,Remote,Indianapolis,Single,Full Time
45467219,2014-12-19,2015-11-26,Randolf,Celle,Customer Service,Customer Support,9657388599.0,12104572130.0,,,Manager,84020,Voluntary,More flexible benefits,0,Male,Caucasian,3/23/1985,Master's degree,Remote,New York,Single,Full Time
55540612,2013-03-07,,Finn,Lashmore,HR,Benefits,1358690858.0,4348267022.0,2874824995.0,12104572130.0,Individual Contributor,75469,,,1,Male,Caucasian,8/22/1983,Bachelor's degree,On-site,San Francisco,Single,Full Time
56138933,2021-03-14,,Rodrick,Tremethack,Administration,Executive Assistants,503182592.0,1133455702.0,1055389029.0,12104572130.0,Individual Contributor,69889,,,1,Male,Asian,6/14/1991,Bachelor's degree,Remote,Austin,Single,Full Time
62026776,2021-04-07,,Hakeem,Clemes,Marketing,Marketing Research,4227611998.0,2448499492.0,9743222543.0,12104572130.0,Individual Contributor,63546,,,1,Male,Caucasian,1/17/1985,Bachelor's degree,Remote,Dallas,Single,Full Time
62484857,2019-06-08,,Lazaro,Choake,Marketing,Public Relations,285196675.0,1670871353.0,1949400041.0,12104572130.0,Individual Contributor,64798,,,1,Male,Caucasian,7/11/1994,Bachelor's degree,Remote,Denver,Single,Full Time
70389749,2015-06-05,,Ogdan,Alvarez,HR,Benefits,23580165.0,8855479112.0,302887809.0,12104572130.0,Individual Contributor,66678,,,1,Male,Caucasian,8/8/1984,Bachelor's degree,Remote,Washington DC,Single,Full Time
78186009,2014-11-24,,Keary,Bellin,Legal,Corporate Law,4249218150.0,8808926609.0,6102968019.0,12104572130.0,Individual Contributor,112014,,,1,Male,Caucasian,7/27/1981,Bachelor's degree,On-site,Dallas,Single,Full Time
80336177,2017-12-16,,Marijn,Klehn,Sales,Business Development,8561534894.0,2533628457.0,8057668487.0,12104572130.0,Individual Contributor,64901,,,1,Male,Caucasian,6/3/1984,Bachelor's degree,Remote,Jacksonville,Single,Full Time
81223024,2014-07-11,,Alisun,Simants,Sales,Sales Operations,5701309242.0,12104572130.0,,,Manager,97290,,,1,Female,Asian,2/16/1987,Bachelor's degree,On-site,Los Angeles,Single,Full Time
82383276,2019-08-11,,Lucia,Plunkett,HR,Benefits,7064415887.0,1966624945.0,8377149542.0,12104572130.0,Individual Contributor,62603,,,1,Female,Asian,9/24/1997,Bachelor's degree,Remote,San Francisco,Single,Full Time
90363811,2018-06-23,2020-06-04,Raddy,Abdon,Finance,Auditing,12104572130.0,,,,Director,102571,Voluntary,Found a better opportunity,0,Male,Caucasian,12/10/1987,Bachelor's degree,Remote,Austin,Single,Full Time
91052068,2020-02-03,,Felice,Fripps,Operations,Logistics,8375539146.0,12104572130.0,,,Manager,69797,,,1,Male,Native American,1/14/1961,Associate's degree,Remote,Chicago,Married,Full Time
91664331,2012-10-27,2013-09-17,Brantley,Speck,Operations,Supply Chain,6117579543.0,7406542888.0,9843016922.0,12104572130.0,Individual Contributor,65475,Voluntary,Found a better opportunity,0,Male,Caucasian,3/9/1998,Bachelor's degree,Remote,Jacksonville,Single,Full Time
96741225,2014-08-08,,Wolfy,Scott,Product Development,Product Management,4216091555.0,4889803209.0,765808111.0,12104572130.0,Individual Contributor,82289,,,1,Male,Caucasian,11/23/1992,Bachelor's degree,On-site,Los Angeles,Single,Full Time
